site,keyword,country,branded,clicks,impressions,avg_position,ctr
https://www.luckyvibecasino.com,luckyvibe casino,can,True,47,379,5.2,12.4
https://rocketspin.io/,rocketspin casino,ita,True,47,607,3.3,7.74
https://lucky7evencasino.com,lucky7even,deu,True,47,2053,8.7,2.29
https://rocketspin.io/,rocket spin,nor,True,46,1059,7.5,4.34
https://www.spinjocasino.com,spinjo,ita,True,46,805,6.1,5.71
https://lucky7evencasino.io/,lucky7even,nor,True,45,471,3.8,9.55
https://rocketspincasino.com/,rocketspin,deu,True,45,2807,6.2,1.6
https://www.luckyvibe.io/,lucky vibe,ita,True,45,1438,8.4,3.13
https://www.spinjocasino.com,spinjo,nzl,True,45,1608,2.5,2.8
https://roosters.bet,rooster bet,che,True,45,54,1.7,83.33
https://spinsupcasino.com/,spinsup casino,are,True,45,180,2.8,25.0
https://rocketspin.io/,rocket spin casino,nzl,True,45,701,9.0,6.42
https://roostersbet.com,rosterbet,ita,True,43,139,2.8,30.94
https://lucky7evencasino.com,lucky7even casino,ita,True,43,618,7.5,6.96
https://roostersbet.com,roosterbet,ita,True,43,1918,7.2,2.24
https://rocketspin.io/,rocket spin casino,nor,True,43,602,8.5,7.14
https://casinoroosters.com,rooster casino,qat,True,43,116,2.8,37.07
https://www.luckyvibecasino.com,lucky vibe casino,nor,True,42,872,5.6,4.82
https://rollerocasino.com/,rollero casino,nor,True,42,787,8.1,5.34
https://lucky7evencasino.io/,lucky7even,che,True,42,169,5.7,24.85
https://roosters.bet,rooster bet casino login,ita,True,42,81,2.2,51.85
https://www.luckyvibecasino.com,lucky vibe casino,nzl,True,41,258,4.8,15.89
https://roosters.bet,rosterbet,ita,True,41,108,2.2,37.96
https://www.luckyvibe.io/,lucky vibe,aut,True,40,775,2.4,5.16
https://rocketspin.io/,rocket spins casino,aus,False,40,176,4.1,22.73
https://roosters.bet,rooster casino,nor,True,40,82,2.2,48.78
https://rocketspin.io/,rocket spin casino login,aus,True,40,508,1.1,7.87
https://www.spinjo.io,spinjo casino login,deu,True,40,275,2.6,14.55
https://spinsupcasino.com/,spins up casino,ita,True,40,419,5.0,9.55
https://lucky7evencasino.io/,lucky7even casino,aus,True,40,1667,3.1,2.4
https://roosters.bet,roster casino,are,True,40,75,1.8,53.33
https://roostersbet.com,rooster casino login,aus,True,40,230,2.0,17.39
https://www.playmojo.io/,playmogo,usa,True,39,951,2.1,4.1
https://lucky7evencasino.com,lucky7 casino,can,True,39,604,12.7,6.46
https://www.luckyvibe.io/,lucky vibe,nor,True,39,1170,5.3,3.33
https://roosters.bet,roosterbet,svn,True,38,45,1.2,84.44
https://www.playmojo.io/,playmogo,ind,True,38,237,2.0,16.03
https://rocketspincasino.com/,rocketspin casino,ita,True,38,628,3.9,6.05
https://www.playmojo.io/,playmogo,idn,True,37,1376,5.4,2.69
https://fortuneplay.casino/,fortune play,deu,True,37,1326,6.1,2.79
https://rocketspin.io/,rocket spin casino,can,True,37,1322,6.2,2.8
https://www.playmojocasino.com/,mojo casino,ita,False,37,58,1.9,63.79
https://rocketspin.io/,rocketspin,can,True,36,1310,4.9,2.75
https://www.playmojo.io/,playmogo,phl,True,36,264,2.5,13.64
https://www.luckyvibecasino.com,lucky vibe,aus,True,36,906,4.3,3.97
https://rollero.io/,rollero casino,can,True,36,1320,8.3,2.73
https://roosters.bet,rooster casino,can,True,35,291,3.6,12.03
https://www.spinsup.io/,spin up casino login,ita,True,35,48,1.4,72.92
https://fortuneplay.casino/,fortune play,aut,True,35,263,3.8,13.31
https://www.spinjocasino.com,spinjo,aus,True,35,1697,4.8,2.06
https://fortuneplay.io,fortuneplay,ita,True,35,716,7.2,4.89
https://lucky7evencasino.io/,lucky7even casino,can,True,34,2197,6.4,1.55
https://roosters.bet,rooster.bet,are,True,34,227,4.7,14.98
https://fortuneplay.casino/,fortune play,nzl,True,34,705,3.6,4.82
https://rollerocasino.com/,rollero casino,che,True,34,106,3.1,32.08
https://rollero.io/,rollero casino,nor,True,34,793,10.4,4.29
https://www.luckyvibecasino.com,luckyvibe casino,ita,True,34,1214,8.0,2.8
https://www.casinospinjo.com,spinjo casino,ita,True,33,625,6.1,5.28
https://www.luckyvibe.io/,lucky vibe casino,che,True,33,95,2.5,34.74
https://fortuneplay.casino/,fortune play casino login,aus,True,32,183,1.6,17.49
https://www.spinjocasino.com,spinjo,can,True,32,894,3.9,3.58
https://roosters.bet,rooster bet,sau,True,32,134,3.6,23.88
https://www.spinjocasino.com,spinjo casino,aut,True,32,871,3.8,3.67
https://roosters.bet,rooster casino,che,True,32,47,2.4,68.09
https://rocketspin.io/,rocketspin,che,True,31,430,4.3,7.21
https://www.casinorollero.com/,rollero,aut,True,31,433,5.3,7.16
https://www.spinsup.io/,spinsup,are,True,31,52,2.1,59.62
https://rocketspin.io/,rocketspin,deu,True,31,2587,6.7,1.2
https://www.luckyvibecasino.com,luckyvibe casino,nor,True,31,966,5.1,3.21
https://lucky7evencasino.com,lucky 7 pokies,aus,True,31,491,3.5,6.31
https://www.luckyvibecasino.com,lucky vibes casino,deu,False,30,58,2.2,51.72
https://fortuneplay.casino/,fortune play casino,nzl,True,30,590,5.6,5.08
https://casinoroosters.com,rooster casino,are,True,30,390,6.8,7.69
https://www.luckyvibe.io/,luckyvibes,deu,False,30,64,3.0,46.88
https://rollero.io/,rollero,ita,True,30,341,15.5,8.8
https://rocketspin.io/,rocket spin casino,ita,True,30,668,4.7,4.49
https://lucky7evencasino.com,lucky seven casino,can,True,30,602,13.9,4.98
https://www.spinsup.io/,spinsup casino,can,True,30,1437,5.9,2.09
https://www.luckyvibe.io/,luckyvibe,nzl,True,30,492,5.3,6.1
https://roosters.bet,roosterbet casino,aut,True,29,206,1.7,14.08
https://spinsupcasino.com/,spinsup casino,che,True,29,90,2.4,32.22
https://fortuneplay.casino/,fortune play,irl,True,29,140,2.4,20.71
https://lucky7evencasino.com,lucky seven casino,aus,True,29,578,2.3,5.02
https://rollerocasino.com/,rolero casino,deu,False,29,112,2.0,25.89
https://www.casinospinjo.com,spinju casino,swe,False,28,1026,3.6,2.73
https://spinsupcasino.com/,spin up casino,ita,True,28,224,8.0,12.5
https://roostersbet.com,rooster bet,can,True,28,1014,9.4,2.76
https://lucky7evencasino.io/,lucky7even,aut,True,28,45,1.6,62.22
https://rollero.io/,rollero,che,True,28,310,3.9,9.03
https://rocketspin.io/,rocket spins,aus,False,28,58,1.1,48.28
https://www.spinjo.io,spinjo casino,aus,True,28,1923,4.4,1.46
https://roosters.bet,rooster bet casino,deu,True,28,1890,4.2,1.48
https://www.spinjo.io,spinju casino,swe,False,28,1824,5.3,1.54
https://www.spinjo.io,spinjo login,ita,True,28,78,2.3,35.9
https://lucky7evencasino.com,lucky7 casino,aut,True,28,201,5.3,13.93
https://www.spinjocasino.com,spinjoy casino,nld,False,28,189,2.3,14.81
https://roostersbet.com,rooster casino,deu,True,27,1940,8.4,1.39
https://www.spinjo.io,spinjo casino,nzl,True,27,1439,4.4,1.88
https://roosters.bet,rooster bet login,aus,True,27,52,1.6,51.92
https://www.luckyvibe.io/,luckyvibe casino,nzl,True,27,548,4.7,4.93
https://spinsupcasino.com/,spins up casino,aus,True,27,879,6.4,3.07
https://rocketspin.io/,rocketspin,kwt,True,27,39,1.8,69.23
https://www.spinjo.io,spinjo casino,deu,True,27,3816,4.9,0.71
https://www.luckyvibe.io/,luckyvibe,ita,True,26,1257,6.6,2.07
https://www.spinjo.io,spinjo casino,nor,True,26,381,7.7,6.82
https://roosters.bet,rooster bet,fin,True,26,1011,6.8,2.57
https://lucky7evencasino.com,lucky seven casino,deu,True,26,448,14.4,5.8
https://www.spinsup.io/,spinsup,nzl,True,26,744,4.6,3.49
https://fortuneplay.casino/,furtuneplay,phl,False,26,45,1.3,57.78
https://roostersbet.com,roosterbet casino,can,True,26,410,7.5,6.34
https://www.casinospinjo.com,spinjo casino,swe,True,26,975,4.5,2.67
https://rollero.io/,rollero,can,True,26,899,7.6,2.89
https://www.luckyvibe.io/,luckyvibe,aut,True,26,706,2.8,3.68
https://roosters.bet,rooster bet casino,irl,True,25,115,2.0,21.74
https://www.spinsup.io/,spin up casino,can,True,25,435,4.2,5.75
https://rocketspincasino.com/,rocketspin,ita,True,25,876,5.7,2.85
https://lucky7evencasino.com,lucky7even casino,fin,True,25,53,1.7,47.17
https://casinoroosters.com,roosterbet casino,aus,True,25,1068,4.2,2.34
https://roosters.bet,roosterbet casino,aus,True,25,786,4.5,3.18
https://www.playmojocasino.com/,play mojo casino,ita,True,25,249,6.8,10.04
https://rollerocasino.com/,rollero casino,deu,True,25,1874,5.8,1.33
https://roostersbet.com,rooster casino,aus,True,25,343,4.2,7.29
https://spinsupcasino.com/,spins up casino,che,True,25,197,1.8,12.69
https://www.luckyvibe.io/,luckyvibe,kwt,True,25,47,2.1,53.19
https://roosters.bet,roosterbet,kwt,True,25,54,1.9,46.3
https://spinsupcasino.com/,spins up casino,aut,True,25,273,2.2,9.16
https://www.luckyvibe.io/,lucky vibe casino,ita,True,25,1336,6.3,1.87
https://www.spinjocasino.com,spinjo login,ita,True,24,80,2.4,30.0
https://roosters.bet,roster bet,deu,True,24,441,1.6,5.44
https://roostersbet.com,rooster bet login,ita,True,24,235,4.6,10.21
https://fortuneplay.casino/,fortune play,phl,True,24,475,5.3,5.05
https://roosters.bet,rooster bet casino,can,True,24,904,5.2,2.65
https://www.spinsup.io/,spinsup casino,nzl,True,24,663,4.8,3.62
https://www.casinorocketspin.com/,rocketspin,aus,True,24,1364,5.8,1.76
https://rocketspincasino.com/,rocketspins,aus,False,24,97,5.4,24.74
https://fortuneplay.casino/,fortune play casino,can,True,24,1014,11.5,2.37
https://fortuneplay.io,fortune play,aus,True,24,1237,9.4,1.94
https://rocketspin.io/,rocket spin casino login,nor,True,23,151,1.6,15.23
https://www.luckyvibecasino.com,luckyvibe casino,che,True,23,43,1.7,53.49
https://www.playmojo.io/,playmojo,aus,True,23,1041,7.0,2.21
https://rollero.io/,rollero,nor,True,23,610,14.3,3.77
https://lucky7evencasino.com,lucky 7even,can,True,23,723,11.4,3.18
https://roosters.bet,rooster bet,svn,True,23,31,2.5,74.19
https://lucky7evencasino.com,lucky7 casino,nzl,True,23,113,4.5,20.35
https://www.spinjo.io,spinjo,can,True,23,911,3.9,2.52
https://fortuneplay.casino/,fortune play casino,irl,True,23,130,2.7,17.69
https://www.luckyvibecasino.com,lucky vibe,deu,True,23,1466,7.0,1.57
https://www.playmojocasino.com/,playmojo casino,che,True,23,63,3.4,36.51
https://spinsupcasino.com/,spinsup casino,ita,True,22,410,9.8,5.37
https://www.luckyvibecasino.com,lucky vibe,aut,True,22,729,4.4,3.02
https://www.luckyvibecasino.com,lucky vibes casino,aus,False,22,105,2.3,20.95
https://rocketspin.io/,rocket spins,can,False,22,195,3.0,11.28
https://fortuneplay.casino/,fortune play casino,phl,True,22,192,5.4,11.46
https://roostersbet.com,rooster bet login,aus,True,22,60,2.0,36.67
https://www.spinjocasino.com,spinjo casino,aus,True,22,1791,5.3,1.23
https://roosters.bet,roosterbet,fin,True,22,547,9.9,4.02
https://roostersbet.com,roosterbet casino,nzl,True,22,309,7.1,7.12
https://www.casinorocketspin.com/,rocketspin,deu,True,22,2937,5.9,0.75
https://fortuneplay.casino/,fortuna play,ita,False,22,37,1.3,59.46
https://www.spinsup.io/,spin up casino,nzl,True,21,146,5.0,14.38
https://www.luckyvibecasino.com,lucky vibe casino login,aus,True,21,820,1.8,2.56
https://www.playmojo.io/,playmojo,dnk,True,21,78,3.2,26.92
https://www.luckyvibecasino.com,luckyvibe casino,nzl,True,21,418,3.8,5.02
https://lucky7evencasino.com,lucky seven casino,ita,True,21,115,8.1,18.26
https://www.luckyvibecasino.com,lucky vibe casino,tur,True,21,42,1.1,50.0
https://fortuneplay.io,fortune play casino,aus,True,21,1214,10.5,1.73
https://casinoroosters.com,roosterbet,aus,True,21,2369,5.4,0.89
https://roosters.bet,rooster bet casino,che,True,21,44,1.3,47.73
https://www.casinorollero.com/,rollero casino,che,True,20,88,3.8,22.73
https://www.luckyvibecasino.com,lucky vibe casino login australia,aus,True,20,489,2.7,4.09
https://roostersbet.com,rooster bet casino login,aus,True,20,145,2.3,13.79
https://www.luckyvibecasino.com,luckyvibe,aus,True,20,1507,7.7,1.33
https://www.spinjocasino.com,spinjo,aut,True,20,630,5.4,3.17
https://spinsupcasino.com/,spinsup casino,can,True,20,1191,6.9,1.68
https://lucky7evencasino.io/,lucky7even casino,fin,True,20,50,1.9,40.0
https://spinsupcasino.com/,spinsup,aus,True,20,1245,6.8,1.61
https://www.playmojo.io/,playmojo casino,che,True,20,64,3.8,31.25
https://fortuneplay.casino/,fortune play casino,kwt,True,20,25,4.6,80.0
https://casinoroosters.com,rooster casino,aus,True,20,341,3.9,5.87
https://fortuneplay.casino/,fortuneplay,are,True,20,155,3.4,12.9
https://spinsupcasino.com/,spinsup casino login,aus,True,20,415,3.7,4.82
https://fortuneplay.casino/,fortune play,che,True,20,48,2.0,41.67
https://www.luckyvibe.io/,luckyvibes,nzl,False,20,34,1.4,58.82
https://roosters.bet,rooster bet casino,nor,True,20,73,3.4,27.4
https://fortuneplay.casino/,fortuneplay,che,True,19,86,2.7,22.09
https://www.spinjocasino.com,spinjo casino,can,True,19,673,5.4,2.82
https://www.spinsup.io/,spin up casino,deu,True,19,565,9.4,3.36
https://www.spinjocasino.com,spinjo,deu,True,19,2614,6.8,0.73
https://lucky7evencasino.io/,lucky7even casino,ita,True,19,617,9.9,3.08
https://roostersbet.com,rooster bet,ita,True,19,1220,10.5,1.56
https://www.luckyvibecasino.com,lucky vibes casino,usa,False,19,47,1.2,40.43
https://www.playmojo.io/,mojo casino,can,False,19,164,7.2,11.59
https://spinsupcasino.com/,spinsup casino,deu,True,19,1614,4.9,1.18
https://www.spinjocasino.com,spinju casino,swe,False,18,344,2.6,5.23
https://rocketspin.io/,rocket spin casino login,ita,True,18,51,1.6,35.29
https://lucky7evencasino.com,lucky7even casino,nor,True,18,220,5.2,8.18
https://www.playmojocasino.com/,play mojo casino,che,True,18,44,2.0,40.91
